sentence,audio,id
В Звенигороде.,2019-Zvenigorod-ea1976-23350-24808.wav,1
"В Игнатьево, да.",2019-Zvenigorod-ea1976-72740-74743.wav,2
"В каком -то общежитии, как она рассказывала, как они шли через грязь.",2019-Zvenigorod-ea1976-426880-431731.wav,3
"В деревню, они шли, представляешь, за лошадью, прятались за телегой.",2019-Zvenigorod-ea1976-431731-435964.wav,4
В нём была= был госпиталь.,2019-Zvenigorod-ea1976-589552-593123.wav,5
"В сорок пятой больнице, она вот, получается, здесь.",2019-Zvenigorod-ea1976-880363-884256.wav,6
В котельне оператором.,2019-Zvenigorod-ea1976-906131-908777.wav,7
В турбазе.,2019-Zvenigorod-ea1976-908777-910011.wav,8
"В общем, она опять работает.",2019-Zvenigorod-ea1976-918311-920981.wav,9
"В колледже я училась, а потом там же была база вечернего института.",2019-Zvenigorod-ea1976-1376240-1381911.wav,10
"В город въехать, из города выехать, и ещё там на Риге, считай, ну там уже на въезде, на МКАДе.",2019-Zvenigorod-ea1976-1469729-1476185.wav,11
"В 'Звезду', да.",2019-Zvenigorod-ea1976-1554014-1555699.wav,12
В этот раз ей же двадцать лет было четвёртого мая.,2019-Zvenigorod-ea1976-1678655-1682242.wav,13
В Супонево.,2019-Zvenigorod-ea1976-1891584-1893037.wav,14
В Супонево мы дом построили.,2019-Zvenigorod-ea1976-1893037-1894922.wav,15
"В Игнатьево вот, ф= там вот...",2019-Zvenigorod-ea1976-2043579-2046255.wav,16
В ПТП у нас там.,2019-Zvenigorod-ea1976-2046255-2050299.wav,17
"В общем, он был просто, говорит, ам= а мне так не досталось.",2019-Zvenigorod-ea1976-2196813-2200954.wav,18
"В контакте, я могу подойти к ним научиться, посмотреть там, чем они занимаются, я...",2019-Zvenigorod-ea1976-2704954-2710306.wav,19
В конце концов.,2019-Zvenigorod-ea1976-2936728-2938163.wav,20
В Дютьково.,2019-Zvenigorod-ea1976-3101141-3102035.wav,21
"В общем, она обычно Наташку там Орлову просит проверить, а тут она меня.",2019-Zvenigorod-ea1976-3419647-3423683.wav,22
"В это время, с течения, постоянно вспоминаю своих родителей.",2019-Zvenigorod-li1950-45670-49640.wav,23
В первую очередь.,2019-Zvenigorod-li1950-56260-58060.wav,24
"В общем, от мала до велика.",2019-Zvenigorod-li1950-247415-250550.wav,25
"В общем, вся еда наша была лесная.",2019-Zvenigorod-li1950-266390-270780.wav,26
"В девяностом году мы сошлись с Володей,",2019-Zvenigorod-li1950-464190-468105.wav,27
"В смысле не еду, а просфоры пекла.",2019-Zvenigorod-li1950-698610-701330.wav,28
В основном о губернаторе.,2019-Zvenigorod-li1950-2367540-2373990.wav,29
В этом году приходит мне...,2019-Zvenigorod-li1950-2397860-2404510.wav,30
"В налоговую все туда едут, еще и с больницами что будет - неизвестно, да?",2019-Zvenigorod-li1950-2597400-2602440.wav,31
В монастырь его взяли.,2019-Zvenigorod-li1950-2724630-2734350.wav,32
В Подмосковье.,2019-Zvenigorod-oa1975-30018-33618.wav,33
"В общем, посольских там",2019-Zvenigorod-oa1975-539095-541436.wav,34
"В общем, пошла она сюда.",2019-Zvenigorod-oa1975-1185448-1187639.wav,35
В Москве там.,2019-Zvenigorod-oa1975-1208977-1214688.wav,36
"В начале, конечно, все нравилось там, бизнес свой, вот там такая она была воодушевлённая, потом, ну не очень.",2019-Zvenigorod-oa1975-1279649-1287920.wav,37
"В общем, закрыли мы магазин.",2019-Zvenigorod-oa1975-1287920-1290323.wav,38
"В общем, ну, любовник там у подружки какой -то богатый.",2019-Zvenigorod-oa1975-1644618-1649029.wav,39
"В общем ей пообещали высокую зарплату, они там ей две тысячи долларов пообещали.",2019-Zvenigorod-oa1975-1702878-1707121.wav,40
"В общем, она девять классов закончила.",2019-Zvenigorod-oa1975-2372269-2374737.wav,41
"В Москве мы с ней встречаемся там,",2019-Zvenigorod-oa1975-2414835-2416893.wav,42
"В общем, отдельно на неё был журнал, в общем, как она как, ну как наверное, так, в общем, её так и не зачислили в класс,",2019-Zvenigorod-oa1975-2681343-2688321.wav,43
"В общем, обучение стоит там порядка двух тысяч евро.",2019-Zvenigorod-oa1975-2747477-2750628.wav,44
В принципе.,2019-Zvenigorod-oa1975-3042170-3045890.wav,45
В свои семьдесят лет она,2019-Zvenigorod-oa1975-3266448-3268499.wav,46
"В течение перемен ты должен там стоять, как дежурный, всех разгонять, кто бесился.",2019-Zvenigorod-om1973-366431-372595.wav,47
В осталь=,2019-Zvenigorod-om1973-430818-431462.wav,48
В этой столовой во всей.,2019-Zvenigorod-om1973-540785-543038.wav,49
В снегах.,2019-Zvenigorod-om1973-980111-980901.wav,50
В Фуньково в свое.,2019-Zvenigorod-om1973-1161024-1162297.wav,51
"В общем, так она пришла в выводу, что девочка -то эта подшутила над ней.",2019-Zvenigorod-om1973-1185049-1189227.wav,52
"В наш научный городок, куда приезжают академики, профессора и так далее.",2019-Zvenigorod-om1973-1445574-1450210.wav,53
В небольшой такой фирме.,2019-Zvenigorod-om1973-1571443-1572929.wav,54
В пять институтов.,2019-Zvenigorod-om1973-2020819-2022115.wav,55
В сорок два года.,2019-Zvenigorod-om1973-2662497-2664372.wav,56
В любую погоду,2019-Zvenigorod-om1973-2989103-2990461.wav,57
"В отличие от моего супруга,",2019-Zvenigorod-om1973-3024066-3026082.wav,58
В общем целый месяц,2019-Zvenigorod-om1973-3164382-3166510.wav,59
В этот номер.,2019-Zvenigorod-om1973-3189303-3190489.wav,60
"В Смоленской области, или, как она сейчас на=.",2019-Zvenigorod-tk1949_1-28296-35756.wav,61
"В войну она, они попали в эвакуацию.",2019-Zvenigorod-tk1949_1-65191-69665.wav,62
В восьмилетней школе в городе Можайске.,2019-Zvenigorod-tk1949_1-107320-110805.wav,63
В Мониках также в первые сутки никто ничего не предпри=.,2019-Zvenigorod-tk1949_1-198796-203307.wav,64
"В общем, другие болезни искали.",2019-Zvenigorod-tk1949_1-203319-205733.wav,65
"В круглой косынке, как сёстры милосердия.",2019-Zvenigorod-tk1949_1-253721-256911.wav,66
"В общем, короче говоря, я приехада в Звенигород, стала",2019-Zvenigorod-tk1949_1-303073-305694.wav,67
"В шестьдесят восьмом году,",2019-Zvenigorod-tk1949_1-348079-349735.wav,68
"В общем, мы стали все потихонечку уходить.",2019-Zvenigorod-tk1949_1-417420-419393.wav,69
В то время он очень был дорогой пансионат.,2019-Zvenigorod-tk1949_1-466421-471525.wav,70
"В вытрезвителе, да.",2019-Zvenigorod-tk1949_1-519627-523823.wav,71
В Голицыно.,2019-Zvenigorod-tk1949_1-546013-546929.wav,72
В десятом году у нас,2019-Zvenigorod-tk1949_1-547475-549030.wav,73
"В общем, закрыли вытрезвитель тоже.",2019-Zvenigorod-tk1949_1-572615-574491.wav,74
В этом году мы хотели.,2019-Zvenigorod-tk1949_1-626743-628201.wav,75
"В том году я не успела сдать документы, а в этом",2019-Zvenigorod-tk1949_1-649383-652011.wav,76
"В смысле, картошку можно было там",2019-Zvenigorod-tk1949_1-767057-769030.wav,77
В своё че= время несколько раз,2019-Zvenigorod-tk1949_2-82722-85050.wav,78
В отвесный совершенно.,2019-Zvenigorod-tk1949_2-405858-408413.wav,79
В Введенской губернии родился.,2019-Zvenigorod-va1940-15612-18137.wav,80
В Введенскую.,2019-Zvenigorod-va1940-35525-36956.wav,81
В Введенске.,2019-Zvenigorod-va1940-38407-41111.wav,82
"В семнадцать лет работать пошёл, так что всё, рабочий человек.",2019-Zvenigorod-va1940-46865-53289.wav,83
"В семьдесят восьмом году станцию снесли на новое место, туда.",2019-Zvenigorod-va1940-77854-82582.wav,84
В семьдесят восьмом.,2019-Zvenigorod-va1940-86490-91629.wav,85
В шестьдесят девятом году уже сюда.,2019-Zvenigorod-va1940-119499-123877.wav,86
"В Звенигород, Межколхозстрой, строительная организация.",2019-Zvenigorod-va1940-123877-129859.wav,87
В армию оттуда ушёл.,2019-Zvenigorod-va1940-251211-254806.wav,88
В Москве.,2019-Zvenigorod-va1940-293330-294199.wav,89
В метро электриком.,2019-Zvenigorod-va1940-297298-299185.wav,90
В футбол летом.,2019-Zvenigorod-va1940-456288-458627.wav,91
"В парнике помидоры сажаю, а огурцы на улице сажаю.",2019-Zvenigorod-va1940-544193-549383.wav,92
В поддоне.,2019-Zvenigorod-va1940-577846-579795.wav,93
В поход -то.,2019-Zvenigorod-va1940-893525-896903.wav,94
В ПТУ.,2019-Zvenigorod-va1940-1313768-1314489.wav,95
"В общем, что -то я даже внимания...",2019-Zvenigorod-va1940-1560416-1567335.wav,96
В августе.,2019-Zvenigorod-va1940-1785426-1787455.wav,97
"В августе, пятого августа.",2019-Zvenigorod-va1940-1787455-1788991.wav,98
"В общем, не понравилось, короче говоря.",2019-Zvenigorod-va1940-1970236-1977090.wav,99
"В общем, пере= переехала.",2019-Zvenigorod-va1940-2108920-2111192.wav,100
В этом году не ездили правда.,2019-Zvenigorod-va1940-2205221-2208520.wav,101
"В этом году зима была тёплая, не ездили.",2019-Zvenigorod-va1940-2208520-2212600.wav,102
"В детстве мы только корзинкой ловили, да сетями ловили.",2019-Zvenigorod-va1940-2274246-2277524.wav,103
В шестом.,2019-Zvenigorod-vg1945-293985-294685.wav,104
В этот...,2019-Zvenigorod-vg1945-720940-721990.wav,105
"В этот раз мне звонит: 'Валентина Григорьевна, а мы билеты взяли!",2019-Zvenigorod-vg1945-743980-747580.wav,106
"В трех учились,",2019-Zvenigorod-vi1972-35009-35902.wav,107
В школе был стандартный английский.,2019-Zvenigorod-vi1972-153049-154686.wav,108
"В техникуме был немецкий, в институте - английский.",2019-Zvenigorod-vi1972-155703-158606.wav,109
В Звенигороде появился первый отец.,2019-Zvenigorod-vi1972-225590-227178.wav,110
"В стране -то везде можно было устроиться на работу, всегда и везде.",2019-Zvenigorod-vi1972-270092-272722.wav,111
"В общем, во всей красе.",2019-Zvenigorod-vi1972-351276-352343.wav,112
"В общем, где -то чуть ли не в графьях они там были.",2019-Zvenigorod-vi1972-407935-410746.wav,113
"В госпитале, ему два года было, в госпитале забинт= забинтовали якобы как какую -то рану,",2019-Zvenigorod-vi1972-474962-479031.wav,114
В зале бессмысленно заниматься.,2019-Zvenigorod-vi1972-871719-873381.wav,115
В нашем детсве были пупсики такие маленькие.,2019-Zvenigorod-vi1972-993130-997199.wav,116
"В общем, дома он только ночевал.",2019-Zvenigorod-vi1972-1089829-1092013.wav,117
"В общем, если посмотреть,",2019-Zvenigorod-vi1972-1110335-1112097.wav,118
В нагрузку вторым языком.,2019-Zvenigorod-vi1972-1203419-1204783.wav,119
"В общем, я ничего не поняла, разумеется.",2019-Zvenigorod-vi1972-1586749-1588510.wav,120
"В черной черной комнате, да, черная черная кошка.",2019-Zvenigorod-vi1972-1607029-1611471.wav,121
"В любом случае, там они работали, а здесь он сдавал все экзамены.",2019-Zvenigorod-vi1972-1671552-1675869.wav,122
"В общем, я даже не могу сказать, что было бы, если бы другая сторона.",2019-Zvenigorod-vi1972-1707802-1711871.wav,123
"В этом году, вот первое сентября, поступил мальчик,",2019-Zvenigorod-vi1972-1718805-1722825.wav,124
"В горнолыжку с пол пятого,",2019-Zvenigorod-vi1972-1803814-1807634.wav,125
"В массе, да?",2019-Zvenigorod-vi1972-2188172-2194371.wav,126
"В общем, еле уговорила.",2019-Zvenigorod-vi1972-2249169-2251576.wav,127
"В общем,",2019-Zvenigorod-vi1972-2273591-2275799.wav,128
"В музыке я вообще ничего не понимаю, до сих пор в ней плаваю.",2019-Zvenigorod-vi1972-2474260-2476790.wav,129
"В общем, не буду врать.",2019-Zvenigorod-vi1972-2491854-2494186.wav,130
"В общем, было чистенько после ремонта.",2019-Zvenigorod-vi1972-2516541-2521150.wav,131
"В общем, все по легкой промышленности.",2019-Zvenigorod-vi1972-2864984-2866249.wav,132
"В Звенигороде я не слышала, по крайне мере, чтобы кто -то шил вот эти вот облачения.",2019-Zvenigorod-vi1972-2926621-2930515.wav,133
В прямом смысле.,2019-Zvenigorod-vi1972-3107517-3108187.wav,134
"В общем, приключения у человека бы= получилось.",2019-Zvenigorod-vi1972-3541384-3548890.wav,135
"В общем, ребенок земли, я так думаю.",2019-Zvenigorod-vi1972-3587523-3589223.wav,136
В воскресенье звонили.,2019-Zvenigorod-vi1972-3635502-3637425.wav,137
В конце мая.,2019-Zvenigorod-vi1972-3647961-3648846.wav,138
В звенигородской в пе= номер один... школа.,2019-Zvenigorod-ya1968-67991-71558.wav,139
"В тот день, когда я родилась.",2019-Zvenigorod-ya1968-115250-116961.wav,140
В Звенигороде.,2019-Zvenigorod-ya1968-157249-158403.wav,141
В основном все после десятого класса.,2019-Zvenigorod-ya1968-247552-250469.wav,142
"В техникум ездила четыре года, устала.",2019-Zvenigorod-ya1968-300489-303398.wav,143
В Москве фабрика 'Маяк'?,2019-Zvenigorod-ya1968-413569-414710.wav,144
В простых колготках в десятом классе ходили и в тапочках.,2019-Zvenigorod-ya1968-443247-446367.wav,145
"В школе, да?",2019-Zvenigorod-ya1968-447787-448507.wav,146
В Звенигород.,2019-Zvenigorod-ya1968-459262-465737.wav,147
В одной комнатушке?,2019-Zvenigorod-ya1968-500528-502786.wav,148
"В СЭС, в СЭС.",2019-Zvenigorod-ya1968-518869-521114.wav,149
В общем две бабшуки разные.,2019-Zvenigorod-ya1968-623219-625278.wav,150
В Звенигороде.,2019-Zvenigorod-ya1968-635746-637128.wav,151
"В лёгкой форме, да, правильно говоришь, минимум.",2019-Zvenigorod-ya1968-679444-682150.wav,152
В результате он пошёл после девятого класса убежали бегом из школы просто.,2019-Zvenigorod-ya1968-823089-828809.wav,153
В МАМИ.,2019-Zvenigorod-ya1968-885054-886690.wav,154
В институте у него...,2019-Zvenigorod-ya1968-908990-909868.wav,155
В Москве.,2019-Zvenigorod-ya1968-937192-937826.wav,156
В национальной гвардии.,2019-Zvenigorod-ya1968-939115-940383.wav,157
В армию.,2019-Zvenigorod-ya1968-974904-975482.wav,158
В пионерском лагере отслужил.,2019-Zvenigorod-ya1968-1009347-1012883.wav,159
"В общем, был занят.",2019-Zvenigorod-ya1968-1034470-1036009.wav,160
В гаражах.,2019-Zvenigorod-ya1968-1091772-1092864.wav,161
В связи с хорошим послужным этим списком.,2019-Zvenigorod-ya1968-1100751-1103629.wav,162
"В общем, человеку нужно куда -то себя ещё деть.",2019-Zvenigorod-ya1968-1153770-1156791.wav,163
"В общем, это человек, который может ответить на все вопросы интересующ=.",2019-Zvenigorod-ya1968-1161872-1166000.wav,164
В третьей школе.,2019-Zvenigorod-ya1968-1190510-1191329.wav,165
В супоневской.,2019-Zvenigorod-ya1968-1192480-1193392.wav,166
В начальной школе.,2019-Zvenigorod-ya1968-1269824-1271263.wav,167
"В актовом зале, там музыка...",2019-Zvenigorod-ya1968-1339470-1340952.wav,168
В мае.,2019-Zvenigorod-ya1968-1417651-1418190.wav,169
В сорок пять лет.,2019-Zvenigorod-ya1968-1654607-1655345.wav,170
"В основном, всё такое.",2019-Zvenigorod-ya1968-1733577-1737466.wav,171
В Москву поступать.,2019-Zvenigorod-ya1968-1822590-1824178.wav,172
В консерваторию?,2019-Zvenigorod-ya1968-1832506-1833250.wav,173
В нашей школе и в садике там в Егорьевске.,2019-Zvenigorod-ya1968-1912609-1915525.wav,174
В музыкальной школе дала.,2019-Zvenigorod-ya1968-2107270-2108851.wav,175
В старших классах.,2019-Zvenigorod-ya1968-2139527-2140717.wav,176
"Там А, Б, В, Г.",2019-Zvenigorod-ya1968-2154709-2156868.wav,177
"В Сочи, когда в Абхазию ездили туда.",2019-Zvenigorod-ya1968-2177700-2180670.wav,178
"В посёлках были там, это вот смотрели всё..",2019-Zvenigorod-ya1968-2182562-2185396.wav,179
